# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDurationMaxMs,1785614868961000000,1785614928975000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1785614868961000000,1785614928975000000,0.0
Indexes.entries.lookupDuration90PMs,1785614868961000000,1785614928975000000,0.0
Indexes.entries.lookupDurationAvgMs,1785614868961000000,1785614928975000000,0.0
IndexesFlusher.totalFlushingTimeUs,1785614868961000000,1785614928975000000,263472
IndexesFlusher.totalFlushes,1785614868961000000,1785614928975000000,59
Indexes.stubs.lookupDurationAvgMs,1785614868961000000,1785614928975000000,0.0
Indexes.stubs.lookupDuration90PMs,1785614868961000000,1785614928975000000,0.0
Indexes.stubs.lookups,1785614868961000000,1785614928975000000,0.0
Indexes.allKeys.lookupDuration90PMs,1785614868961000000,1785614928975000000,0.0
Indexes.allKeys.lookups,1785614868961000000,1785614928975000000,0.0
Indexes.stubs.lookupDurationMaxMs,1785614868961000000,1785614928975000000,0.0
IndexesFlusher.totalFlushesRetried,1785614868961000000,1785614928975000000,0
Indexes.entries.lookups,1785614868961000000,1785614928975000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1785614868961000000,1785614928975000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1785614868961000000,1785614928975000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1785614868961000000,1785614928975000000,8
workspaceModel.mutableEntityStorage.put.entity.ms,1785614868961000000,1785614928975000000,13
workspaceModel.load.cache.metadata.from.file.ms,1785614868961000000,1785614928975000000,0
jps.global.handle.changed.events.ms,1785614868961000000,1785614928975000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1785614868961000000,1785614928975000000,1
jps.module.iml.entities.serializer.load.entities.ms,1785614868961000000,1785614928975000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1785614868961000000,1785614928975000000,61
workspaceModel.mutableEntityStorage.remove.entity.ms,1785614868961000000,1785614928975000000,0
workspaceModel.global.apply.state.to.project.ms,1785614868961000000,1785614928975000000,0
jps.save.global.entities.ms,1785614868961000000,1785614928975000000,0
jps.facet.change.listener.init.bridge.ms,1785614868961000000,1785614928975000000,1
workspaceModel.mutableEntityStorage.entities.ms,1785614868961000000,1785614928975000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1785614868961000000,1785614928975000000,3
workspaceModel.orphan.listener.update.ms,1785614868961000000,1785614928975000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1785614868961000000,1785614928975000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1785614868961000000,1785614928975000000,3
jps.modifiable.module.model.bridge.new.module.ms,1785614868961000000,1785614928975000000,28
workspaceModel.mutableEntityStorage.resolve.ms,1785614868961000000,1785614928975000000,0
jps.project.serializers.save.ms,1785614868961000000,1785614928975000000,13
jps.artifact.entities.serializer.save.entities.ms,1785614868961000000,1785614928975000000,0
jps.global.initialize.library.bridges.after.loading.ms,1785614868961000000,1785614928975000000,0
jps.global.get.libraries.ms,1785614868961000000,1785614928975000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1785614868961000000,1785614928975000000,121
workspaceModel.mutableEntityStorage.add.entity.ms,1785614868961000000,1785614928975000000,19
workspaceModel.mutableEntityStorage.has.same.entities.ms,1785614868961000000,1785614928975000000,0
jps.apply.loaded.storage.ms,1785614868961000000,1785614928975000000,54
jps.facet.change.listener.before.change.events.ms,1785614868961000000,1785614928975000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1785614868961000000,1785614928975000000,0
jps.modifiable.module.model.bridge.load.module.ms,1785614868961000000,1785614928975000000,0
