# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1785614955127000000,1785614963893000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1785614955127000000,1785614963893000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1785614955127000000,1785614963893000000,0
workspaceModel.save.cache.to.file.ms,1785614955127000000,1785614963893000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1785614955127000000,1785614963893000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1785614955127000000,1785614963893000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1785614955127000000,1785614963893000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1785614955127000000,1785614963893000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1785614955127000000,1785614963893000000,0
AWTEventQueue.dispatchTimeAvgNs,1785614955127000000,1785614963893000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1785614955127000000,1785614963893000000,30615
NonBlockingReadAction.failedExecutionTimeUs,1785614955127000000,1785614963893000000,0
FlushQueue.waitingTimeAvgNs,1785614955127000000,1785614963893000000,0.0
FlushQueue.waitingTimeMaxNs,1785614955127000000,1785614963893000000,0
AWTEventQueue.eventsDispatched,1785614955127000000,1785614963893000000,0
ReadAction.executionsCount,1785614955127000000,1785614963893000000,48671
AWTEventQueue.dispatchTime90PNs,1785614955127000000,1785614963893000000,0
FlushQueue.executionTime90PNs,1785614955127000000,1785614963893000000,0
WriteAction.executionsCount,1785614955127000000,1785614963893000000,1
AWTEventQueue.dispatchTimeMaxNs,1785614955127000000,1785614963893000000,0
FlushQueue.queueSizeMax,1785614955127000000,1785614963893000000,0
FlushQueue.queueSize90P,1785614955127000000,1785614963893000000,0
FlushQueue.queueSizeAvg,1785614955127000000,1785614963893000000,0.0
NonBlockingReadAction.failedExecutionsCount,1785614955127000000,1785614963893000000,0
FlushQueue.executionTimeAvgNs,1785614955127000000,1785614963893000000,0.0
FlushQueue.executionTimeMaxNs,1785614955127000000,1785614963893000000,0
FlushQueue.tasksExecuted,1785614955127000000,1785614963893000000,0
AWTEventQueue.dispatchTimeTotalNS,1785614955127000000,1785614963893000000,7291032170
NonBlockingReadAction.finalizedExecutionsCount,1785614955127000000,1785614963893000000,14
FlushQueue.waitingTime90PNs,1785614955127000000,1785614963893000000,0
